,Date,Team,Elo
13364,2015-12-29,MEM,1598.6740234597196
13423,2016-01-02,MEM,1603.4211900042355
13455,2016-01-04,MEM,1592.675952503093
13481,2016-01-06,MEM,1603.3063223215408
13496,2016-01-08,MEM,1596.0086677719346
13528,2016-01-10,MEM,1599.1837300618547
13552,2016-01-12,MEM,1603.889247103018
13584,2016-01-14,MEM,1590.1498377022176
13616,2016-01-16,MEM,1595.042928377564
13636,2016-01-18,MEM,1598.497430882623
13683,2016-01-21,MEM,1602.8252701658712
13707,2016-01-23,MEM,1610.299965942118
13732,2016-01-25,MEM,1594.6642720127127
13776,2016-01-28,MEM,1597.568307217136
13810,2016-01-30,MEM,1601.6744579901922
13833,2016-02-01,MEM,1605.5564723600407
13893,2016-02-05,MEM,1615.0961312344211
13908,2016-02-06,MEM,1621.9404914613456
13938,2016-02-08,MEM,1607.2991748782713
13961,2016-02-10,MEM,1592.492246889563
13996,2016-02-19,MEM,1598.749172591943
14031,2016-02-21,MEM,1600.820103070322
14072,2016-02-24,MEM,1593.747738467044
14105,2016-02-26,MEM,1595.388109688282
14119,2016-02-27,MEM,1599.7295059141663
14143,2016-02-29,MEM,1584.4819350213004
14166,2016-03-02,MEM,1592.9144812293982
14196,2016-03-04,MEM,1596.6488968820931
14224,2016-03-06,MEM,1600.9575982620136
14235,2016-03-07,MEM,1583.0193410174281
14259,2016-03-09,MEM,1597.7794881255095
14288,2016-03-11,MEM,1589.7549868233914
14307,2016-03-12,MEM,1593.9382053940362
14333,2016-03-14,MEM,1585.500939269573
14364,2016-03-16,MEM,1577.8589666487728
14381,2016-03-17,MEM,1560.3632850386348
14414,2016-03-19,MEM,1550.2697367068843
14445,2016-03-21,MEM,1560.0505057660666
14451,2016-03-22,MEM,1566.7494010253504
14495,2016-03-25,MEM,1551.4710554172514
14536,2016-03-28,MEM,1549.15893929164
14562,2016-03-30,MEM,1543.140939613441
14596,2016-04-01,MEM,1527.4277500863946
14627,2016-04-03,MEM,1517.2857954839803
14642,2016-04-05,MEM,1507.0619454348434
14695,2016-04-08,MEM,1514.2025900929968
14704,2016-04-09,MEM,1507.0450059876728
14753,2016-04-12,MEM,1502.6429312253806
14773,2016-04-13,MEM,1498.8399147569996
14796,2016-10-26,MEM,1497.3991698374077
14831,2016-10-29,MEM,1502.3673562762974
14854,2016-10-30,MEM,1491.4299334242473
14875,2016-11-01,MEM,1498.896087343951
14892,2016-11-02,MEM,1488.7452337950633
14916,2016-11-04,MEM,1493.395329611872
14944,2016-11-06,MEM,1484.8883171259436
14970,2016-11-08,MEM,1474.6352559954394
15037,2016-11-12,MEM,1480.83855976076
15063,2016-11-14,MEM,1472.1650846269056
15093,2016-11-16,MEM,1486.913607682096
15117,2016-11-18,MEM,1504.0470866552073
15134,2016-11-19,MEM,1516.1902501604823
15183,2016-11-23,MEM,1520.6304347747648
15212,2016-11-25,MEM,1525.177999929008
15231,2016-11-26,MEM,1512.2069217204346
15277,2016-11-30,MEM,1525.5170866313317
15296,2016-12-01,MEM,1520.974868408799
15326,2016-12-03,MEM,1525.4160278954837
15359,2016-12-05,MEM,1529.155785741757
15370,2016-12-06,MEM,1538.0351401904409
15398,2016-12-08,MEM,1539.3677515174465
15432,2016-12-10,MEM,1546.96574074749
15463,2016-12-13,MEM,1562.2842989804526
15484,2016-12-14,MEM,1557.2144781252093
15512,2016-12-16,MEM,1567.1502542626508
15536,2016-12-18,MEM,1550.972912294736
15566,2016-12-20,MEM,1538.3096212010691
15581,2016-12-21,MEM,1526.3515832230698
15610,2016-12-23,MEM,1538.3796587741865
15639,2016-12-26,MEM,1548.5359818879188
15659,2016-12-27,MEM,1538.088474277622
15686,2016-12-29,MEM,1532.1802490986095
15715,2016-12-31,MEM,1541.5417932550617
15763,2017-01-03,MEM,1552.025352744519
15773,2017-01-04,MEM,1538.2744223979273
15801,2017-01-06,MEM,1532.6267166683801
15826,2017-01-08,MEM,1550.9337235808164
15865,2017-01-11,MEM,1558.2256748589764
15887,2017-01-13,MEM,1552.2169855553152
15916,2017-01-15,MEM,1567.680980464693
15951,2017-01-18,MEM,1552.8984779986451
15982,2017-01-20,MEM,1544.7425517553554
16000,2017-01-21,MEM,1549.0085641120631
16054,2017-01-25,MEM,1538.6255469314217
16089,2017-01-27,MEM,1547.4919422971486
16101,2017-01-28,MEM,1538.956301473894
16129,2017-01-30,MEM,1552.5106202221698
16155,2017-02-01,MEM,1559.9103094717839
16181,2017-02-03,MEM,1569.6722012776124
16199,2017-02-04,MEM,1563.071601240786
16230,2017-02-06,MEM,1571.68419646966
16248,2017-02-08,MEM,1583.7935321891034
16276,2017-02-10,MEM,1586.2769536926396
16313,2017-02-13,MEM,1580.1778143913432
16348,2017-02-15,MEM,1583.9100541272776
16377,2017-02-24,MEM,1567.5631529841955
16415,2017-02-26,MEM,1558.5187076201319
16444,2017-02-28,MEM,1568.430697929934
16485,2017-03-03,MEM,1571.0367463887007
16503,2017-03-04,MEM,1561.3115521123743
16532,2017-03-06,MEM,1555.3768567470947
16570,2017-03-09,MEM,1536.923454737986
16608,2017-03-11,MEM,1525.2287499808904
16628,2017-03-13,MEM,1512.9342937797212
16659,2017-03-15,MEM,1519.2366676165263
16673,2017-03-16,MEM,1530.8569822972588
16704,2017-03-18,MEM,1544.2439456265465
16745,2017-03-21,MEM,1557.0229961888783
16775,2017-03-23,MEM,1546.776659340054
16821,2017-03-26,MEM,1543.620453165728
16833,2017-03-27,MEM,1541.1853575637128
16858,2017-03-29,MEM,1530.3817128958594
